原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗金额
优质牛肉,主料,85.0,210,17850.0,7.32,存储不当,BATCH-0001,1306.62
优质牛肉,主料,85.0,264,22440.0,2.32,加工工艺,BATCH-0002,520.61
优质牛肉,主料,85.0,242,20570.0,4.39,质量问题,BATCH-0003,903.02
优质牛肉,主料,85.0,227,19295.0,6.07,存储不当,BATCH-0004,1171.21
优质牛肉,主料,85.0,278,23630.0,9.42,加工工艺,BATCH-0005,2225.95
进口猪肉,主料,45.0,541,24345.0,5.94,质量问题,BATCH-0006,1446.09
进口猪肉,主料,45.0,504,22680.0,3.62,质量问题,BATCH-0007,821.02
进口猪肉,主料,45.0,500,22500.0,4.03,运输破损,BATCH-0008,906.75
进口猪肉,主料,45.0,539,24255.0,2.68,存储不当,BATCH-0009,650.03
进口猪肉,主料,45.0,509,22905.0,7.22,存储不当,BATCH-0010,1653.74
新鲜鸡肉,主料,28.0,1065,29820.0,6.61,运输破损,BATCH-0011,1971.1
新鲜鸡肉,主料,28.0,1021,28588.0,2.71,存储不当,BATCH-0012,774.73
新鲜鸡肉,主料,28.0,1115,31220.0,3.23,运输破损,BATCH-0013,1008.41
深海鱼片,主料,120.0,156,18720.0,1.49,加工工艺,BATCH-0014,278.93
深海鱼片,主料,120.0,122,14640.0,8.24,运输破损,BATCH-0015,1206.34
深海鱼片,主料,120.0,129,15480.0,8.45,加工工艺,BATCH-0016,1308.06
深海鱼片,主料,120.0,104,12480.0,3.43,过期报废,BATCH-0017,428.06
深海鱼片,主料,120.0,110,13200.0,6.52,质量问题,BATCH-0018,860.64
特级面粉,主料,6.0,1638,9828.0,5.26,运输破损,BATCH-0019,516.95
特级面粉,主料,6.0,1659,9954.0,5.81,运输破损,BATCH-0020,578.33
特级面粉,主料,6.0,1693,10158.0,6.29,过期报废,BATCH-0021,638.94
东北大米,主料,8.0,1463,11704.0,5.29,加工工艺,BATCH-0022,619.14
东北大米,主料,8.0,1526,12208.0,4.74,存储不当,BATCH-0023,578.66
东北大米,主料,8.0,1501,12008.0,7.31,运输破损,BATCH-0024,877.78
