原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗金额
保鲜膜,包装材料,1.69,1963,3317.47,0.92,加工工艺,B001,30.52
保鲜膜,包装材料,2.04,1850,3774.0,0.76,其他,B002,28.68
保鲜膜,包装材料,1.92,1858,3567.36,0.97,加工工艺,B003,34.6
保鲜膜,包装材料,2.06,1833,3775.98,0.98,其他,B004,37.0
保鲜膜,包装材料,2.05,2195,4499.75,0.93,自然损耗,B005,41.85
味精,辅料,20.91,227,4746.57,4.71,存储不当,B001,223.56
味精,辅料,21.04,192,4039.68,4.52,自然损耗,B002,182.59
味精,辅料,18.76,194,3639.44,3.34,自然损耗,B003,121.56
味精,辅料,20.13,255,5133.15,2.03,加工工艺,B004,104.2
味精,辅料,21.1,161,3397.1,3.35,运输破损,B005,113.8
塑料袋,包装材料,0.48,5760,2764.8,0.5,存储不当,B001,13.82
塑料袋,包装材料,0.52,5464,2841.28,0.5,其他,B002,14.21
塑料袋,包装材料,0.5,3055,1527.5,0.5,加工工艺,B003,7.64
塑料袋,包装材料,0.49,4251,2082.99,0.5,存储不当,B004,10.41
塑料袋,包装材料,0.44,4735,2083.4,0.5,存储不当,B005,10.42
大米,主料,6.05,2009,12154.45,1.48,运输破损,B001,179.89
大米,主料,5.84,1715,10015.6,1.14,运输破损,B002,114.18
大米,主料,6.14,1856,11395.84,1.8,加工工艺,B003,205.13
大米,主料,5.89,1494,8799.66,1.61,其他,B004,141.67
大米,主料,5.84,1626,9495.84,1.73,加工工艺,B005,164.28
大豆油,主料,12.39,1226,15190.14,3.34,加工工艺,B001,507.35
大豆油,主料,12.25,991,12139.75,1.66,运输破损,B002,201.52
大豆油,主料,11.97,1007,12053.79,5.17,加工工艺,B003,623.18
大豆油,主料,11.82,1036,12245.52,3.17,自然损耗,B004,388.18
大豆油,主料,10.88,1137,12370.56,3.8,加工工艺,B005,470.08
料酒,辅料,12.6,313,3943.8,2.05,其他,B001,80.85
料酒,辅料,12.46,340,4236.4,3.3,加工工艺,B002,139.8
料酒,辅料,12.45,346,4307.7,2.21,加工工艺,B003,95.2
料酒,辅料,10.55,331,3492.05,3.4,运输破损,B004,118.73
料酒,辅料,12.21,297,3626.37,2.92,运输破损,B005,105.89
标签,包装材料,0.22,8276,1820.72,0.5,存储不当,B001,9.1
标签,包装材料,0.2,8822,1764.4,0.5,加工工艺,B002,8.82
标签,包装材料,0.2,9279,1855.8,0.5,运输破损,B003,9.28
标签,包装材料,0.19,10136,1925.84,0.5,加工工艺,B004,9.63
标签,包装材料,0.23,8514,1958.22,0.5,存储不当,B005,9.79
淀粉,辅料,7.61,453,3447.33,1.1,加工工艺,B001,37.92
